UniprotID,Name,chembl_targets,type,origin
A4QPH2,PI4KAP2,CHEMBL4105789,SINGLE PROTEIN,klifs
O00141,SGK1,CHEMBL2343,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O00238,BMPR1B|BMR1B,CHEMBL5476,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O00311,CDC7,CHEMBL5443,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O00329,PIK3CD,CHEMBL3130,SINGLE PROTEIN,klifs|pkinfam
O00418,EF2K|EEF2K,CHEMBL5026,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot
O00443,PIK3C2A,CHEMBL1075102,SINGLE PROTEIN,klifs|pkinfam
O00444,PLK4,CHEMBL3788,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O00506,STK25,CHEMBL5552,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O00750,PIK3C2B,CHEMBL5554,SINGLE PROTEIN,klifs
O14578,CTRO|CIT,CHEMBL5579,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O14730,RIOK3,CHEMBL5659,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot
O14733,MAP2K7|MP2K7,CHEMBL3530,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O14757,CHEK1|CHK1,CHEMBL4630,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O14874,BCKDK,CHEMBL4879410,SINGLE PROTEIN,kinhub|klifs|pkinfam
O14920,IKBKB|IKKB,CHEMBL1991,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O14936,CASK|CSKP,CHEMBL1908381,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O14965,AURKA,CHEMBL4722,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O14976,GAK,CHEMBL4355,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O14986,PIP5K1B,CHEMBL4802064,SINGLE PROTEIN,klifs
O15021,MAST4,CHEMBL2417351,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O15075,DCLK1,CHEMBL5683,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O15111,IKKA|CHUK,CHEMBL3476,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O15146,MUSK,CHEMBL5684,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O15164,TRIM24,CHEMBL3108638,SINGLE PROTEIN,kinhub|klifs
O15197,EPHB6,CHEMBL5836,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O15264,MAPK13|MK13,CHEMBL2939,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O15530,PDPK1,CHEMBL2534,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O43187,IRAK2,CHEMBL4105759,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O43283,MAP3K13|M3K13,CHEMBL1163124,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O43293,DAPK3,CHEMBL2468,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O43318,MAP3K7|M3K7,CHEMBL5776,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O43353,RIPK2,CHEMBL5014,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O43683,BUB1,CHEMBL1772932,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O43781,DYRK3,CHEMBL4575,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O43921,EFNA2,CHEMBL1795109,SINGLE PROTEIN,klifs
O60285,NUAK1,CHEMBL5784,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O60307,MAST3,CHEMBL2417352,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O60331,PIP5K1C,CHEMBL1908383,SINGLE PROTEIN,klifs
O60566,BUB1B,CHEMBL4295998,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O60674,JAK2-b|JAK2,CHEMBL2971,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O60885,BRD4,CHEMBL1163125,SINGLE PROTEIN,kinhub|klifs
O75116,ROCK2,CHEMBL2973,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O75385,ULK1,CHEMBL6006,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O75460,ERN1,CHEMBL1163101,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O75582,RPS6KA5|RPS6KA5-b|KS6A5,CHEMBL4237,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O75676,RPS6KA4|RPS6KA4-b|KS6A4,CHEMBL3125,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O75716,STK16,CHEMBL3938,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O75747,PIK3C2G,CHEMBL1163120,SINGLE PROTEIN,klifs
O75914,PAK3,CHEMBL2999,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O75962,TRIO,CHEMBL4523153,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O76039,CDKL5,CHEMBL1163112,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O94768,ST17B|STK17B,CHEMBL3980,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O94804,STK10,CHEMBL3981,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O94806,PRKD3|KPCD3,CHEMBL2595,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O94921,CDK14,CHEMBL6162,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O95382,M3K6|MAP3K6,CHEMBL1163123,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O95747,OXSR1,CHEMBL1163104,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O95819,MAP4K4|M4K4,CHEMBL6166,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O95835,LATS1,CHEMBL6167,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O96013,PAK4,CHEMBL4482,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O96017,CHK2|CHEK2,CHEMBL2527,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P00519,ABL1,CHEMBL1862,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P00533,EGFR,CHEMBL203,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P00540,MOS,CHEMBL1075184,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P04049,RAF1,CHEMBL1906,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P04626,ERBB2,CHEMBL1824,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P04629,NTRK1,CHEMBL2815,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P05129,KPCG|PRKCG,CHEMBL2938,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P05771,KPCB|PRKCB,CHEMBL3045,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P06213,INSR,CHEMBL1981,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P06239,LCK,CHEMBL258,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P06241,FYN,CHEMBL1841,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P06493,CDK1,CHEMBL308,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P07332,FES,CHEMBL5455,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P07333,CSF1R,CHEMBL1844,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P07947,YES1|YES,CHEMBL2073,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P07948,LYN,CHEMBL3905,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P07949,RET,CHEMBL2041,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P08069,IGF1R,CHEMBL1957,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P08581,MET,CHEMBL3717,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P08631,HCK,CHEMBL3234,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P08922,ROS1,CHEMBL5568,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P09619,PGFRB|PDGFRB,CHEMBL1913,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P09769,FGR,CHEMBL4454,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P0C1S8,WEE2,CHEMBL5095,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P0C264,SBK3,CHEMBL5116,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P10398,ARAF,CHEMBL1169596,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P10721,KIT,CHEMBL1936,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P11274,BCR,CHEMBL5146,SINGLE PROTEIN,kinhub|klifs
P11309,PIM1,CHEMBL2147,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P11362,FGFR1,CHEMBL3650,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P11801,KPSH1|PSKH1,CHEMBL4524035,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P11802,CDK4,CHEMBL331,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P12931,SRC,CHEMBL267,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P14616,INSRR,CHEMBL5483,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P15056,BRAF,CHEMBL5145,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P15735,PHKG2,CHEMBL2349,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P16066,ANPRA|NPR1,CHEMBL1988,SINGLE PROTEIN,kinhub|klifs|pkinfam|dunbrack_msa
P16234,PDGFRA|PGFRA,CHEMBL2007,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P16591,FER,CHEMBL3982,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P17252,PRKCA|KPCA,CHEMBL299,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P17612,PRKACA|KAPCA,CHEMBL4101,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P17948,FLT1|VGFR1,CHEMBL1868,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P19525,E2AK2|EIF2AK2,CHEMBL5785,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P19784,CSNK2A2|CSK22,CHEMBL4070,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P20594,NPR2|ANPRB,CHEMBL1795,SINGLE PROTEIN,kinhub|klifs|pkinfam|dunbrack_msa
P20794,MAK,CHEMBL1163106,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P21127,CDK11B|CD11B,CHEMBL5808,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P21675,TAF1,CHEMBL3217390,SINGLE PROTEIN,kinhub|klifs
P21709,EPHA1,CHEMBL5810,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P21802,FGFR2,CHEMBL4142,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P21860,ERBB3,CHEMBL5838,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P22455,FGFR4,CHEMBL3973,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P22607,FGFR3,CHEMBL2742,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P22612,KAPCG|PRKACG,CHEMBL2743,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P22694,KAPCB|PRKACB,CHEMBL2918,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P23443,KS6B1|RPS6KB1,CHEMBL4501,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P23458,JAK1|JAK1-b,CHEMBL2835,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P24723,PRKCH|KPCL,CHEMBL3616,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P24941,CDK2,CHEMBL301,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P25092,GUC2C|GUCY2C,CHEMBL1795197,SINGLE PROTEIN,kinhub|klifs|pkinfam|dunbrack_msa
P25098,ARBK1|ADRBK1|GRK2,CHEMBL4079,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P25440,BRD2,CHEMBL1293289,SINGLE PROTEIN,kinhub|klifs
P27037,ACVR2A|AVR2A,CHEMBL5616,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P27361,MAPK3|MK03,CHEMBL3385,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P27448,MARK3,CHEMBL5600,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P28482,MAPK1|MK01,CHEMBL4040,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P29317,EPHA2,CHEMBL2068,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P29320,EPHA3,CHEMBL4954,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P29322,EPHA8,CHEMBL4134,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P29323,EPHB2,CHEMBL3290,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P29376,LTK,CHEMBL5627,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P29597,TYK2-b|TYK2,CHEMBL3553,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P30291,WEE1,CHEMBL5491,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P30530,UFO|AXL,CHEMBL4895,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P31152,MAPK4|MK04,CHEMBL5759,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P31749,AKT1,CHEMBL4282,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P31751,AKT2,CHEMBL2431,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P32298,GRK4,CHEMBL5861,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P33981,TTK,CHEMBL3983,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P34947,GRK5,CHEMBL5678,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P35557,GCK,CHEMBL3820,SINGLE PROTEIN,klifs
P35590,TIE1,CHEMBL5274,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P35626,GRK3|ARBK2|ADRBK2,CHEMBL1075166,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P35916,FLT4|VGFR3,CHEMBL1955,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P35968,KDR|VGFR2,CHEMBL279,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P36507,MAP2K2|MP2K2,CHEMBL2964,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P36888,FLT3,CHEMBL1974,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P36894,BMR1A|BMPR1A,CHEMBL5275,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P36896,ACVR1B|ACV1B,CHEMBL5310,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P36897,TGFBR1|TGFR1,CHEMBL4439,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P37023,ACVL1|ACVRL1,CHEMBL5311,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P37173,TGFBR2|TGFR2,CHEMBL4267,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P41240,CSK,CHEMBL2634,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P41279,MAP3K8|M3K8,CHEMBL4899,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P41743,KPCI|PRKCI,CHEMBL2598,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P42336,PIK3CA,CHEMBL4005,SINGLE PROTEIN,klifs|pkinfam
P42338,PIK3CB,CHEMBL3145,SINGLE PROTEIN,klifs|pkinfam
P42345,MTOR,CHEMBL2842,SINGLE PROTEIN,kinhub|klifs|pkinfam
P42356,PI4KA,CHEMBL3667,SINGLE PROTEIN,klifs
P42679,MATK,CHEMBL4175,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P42680,TEC,CHEMBL4246,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P42681,TXK,CHEMBL4367,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P42684,ABL2,CHEMBL4014,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P42685,FRK,CHEMBL4223,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
P43250,GRK6,CHEMBL6144,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
